CAG_type,CAG,CORR,Rho,FDR,Serum module,metabolic,Correlation CORR,Correlation Rho,Correlation FDR,No. of stenosed vessel CORR,No. of stenosed vessel Rho,No. of stenosed vessel FDR,cTnI CORR,cTnI Rho,cTnI FDR
Control-enriched CAG,CAG4,﹣,-0.225354284,0.003220661,P003,Fatty Acyls & Carboxylic acids,﹢,0.240966604,0.002173145,﹢,0.119443163,0.153284306,﹢,0.177297197,0.033053579
Control-enriched CAG,CAG4,﹣,-0.193936154,0.011520782,P004,Benzene and substituted derivatives ,﹢,0.395359765,2.64535E-07,﹢,0.276835251,0.000728581,﹢,0.19094003,0.027820243
Control-enriched CAG,CAG4,﹣,-0.15486301,0.044386466,P014,Prenol lipids,﹢,0.241818372,0.002173145,﹢,0.305762094,0.000213039,﹢,0.140025116,0.070036978
Control-enriched CAG,CAG4,﹣,-0.199348615,0.009365048,P028,Glycerolipids,﹢,0.270046071,0.000888455,﹢,0.122442848,0.153284306,﹢,0.172139795,0.033934919
Control-enriched CAG,CAG4,﹣,-0.175021133,0.022846907,P035,Amino acids,﹢,0.327156788,4.47873E-05,﹢,0.322959619,0.000122798,﹢,0.168257222,0.035610762
Control-enriched CAG,CAG4,﹢,0.178084133,0.020533179,P029,Potassium chloride,﹣,-0.266146767,0.000937668,﹣,-0.27112142,0.000831685,﹣,-0.121893275,0.118643788
Control-enriched CAG,CAG4,﹢,0.19494058,0.011090513,L001,Steroids and steroid derivatives,﹣,-0.328502405,0.011427255,﹣,-0.33774851,0.015444354,﹣,-0.180943804,0.024373786
Control-enriched CAG,CAG4,﹢,0.227631644,0.002916309,L014,PEs,﹣,-0.29066915,0.011615275,﹣,-0.301498522,0.044523621,﹣,-0.144824158,0.024373786
Control-enriched CAG,CAG4,﹢,0.188874248,0.013920089,L015,PEs and PCs,﹣,-0.246601511,0.01221843,﹣,-0.218700737,0.040635855,﹣,-0.120239495,0.024373786
Control-enriched CAG,CAG4,﹢,0.202396698,0.008315114,L030,Ceramides and GPs,﹣,-0.357503405,0.021498501,﹣,-0.357087856,0.011718543,﹣,-0.217091255,0.045959501
